# emoji	name	group	subgroup	version	codes	terms
😀	grinning face	Smileys & Emotion	face-smiling	1.0	bucuoa,bca,oo,nn,zhenhao,zh,kaixin,kx,gaoxing,gx,kuaile,kl,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningface,grinning,face,smileysemotion,facesmiling	不错啊|哦哦|嗯嗯|噢噢|真好|开心|高兴|快乐|笑脸|表情|情感|微笑
😃	grinning face with big eyes	Smileys & Emotion	face-smiling	0.6	wa,wao,wo,jingxi,jx,kaixin,kx,gaoxing,gx,kuaile,kl,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningfacewithbigeyes,grinning,face,big,eyes,grinningface,facebig,bigeyes,smileysemotion,facesmiling	哇|哇哦|惊喜|开心|高兴|快乐|笑脸|表情|情感|微笑
😄	grinning face with smiling eyes	Smileys & Emotion	face-smiling	0.6	ha,haha,hh,xiao,xiaole,xl,kaixin,kx,gaoxing,gx,kuaile,kl,xiaolian,weixiao,wx,biaoqing,bq,qinggan,qg,grinningfacewithsmilingeyes,grinning,face,smiling,eyes,grinningface,facesmiling,smilingeyes,smileysemotion	哈|哈哈|笑|笑了|开心|高兴|快乐|笑脸|微笑|表情|情感
😁	beaming face with smiling eyes	Smileys & Emotion	face-smiling	0.6	ciya,cy,liezui,lz,xixi,xx,haoxie,hx,haoa,ha,xiaolian,xl,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,qinggan,qg,beamingfacewithsmilingeyes,beaming,face,smiling,eyes,beamingface,facesmiling,smilingeyes,smileysemotion	呲牙|咧嘴|嘻嘻|好㖿|好啊|笑脸|开心|高兴|快乐|微笑|表情|情感
😆	grinning squinting face	Smileys & Emotion	face-smiling	0.6	haohaoxiao,hhx,haowan,hw,haoxiao,hx,zhenhaowan,zhw,kaixin,kx,gaoxing,gx,kuaile,kl,daxiao,dx,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningsquintingface,grinning,squinting,face,grinningsquinting,squintingface,smileysemotion,facesmiling	好好笑|好玩|好笑|真好玩|开心|高兴|快乐|大笑|笑脸|表情|情感|微笑
😅	grinning face with sweat	Smileys & Emotion	face-smiling	0.6	jiong,haojiong,hj,ganga,gg,kuxiao,kx,liuhan,lh,kaixin,gaoxing,gx,kuaile,kl,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningfacewithsweat,grinning,face,sweat,grinningface,facesweat,smileysemotion,facesmiling	囧|好囧|好窘|窘|尴尬|苦笑|流汗|开心|高兴|快乐|笑脸|表情|情感|微笑
🤣	rolling on the floor laughing	Smileys & Emotion	face-smiling	3.0	hahaha,hhh,hahahaha,hhhh,daxiao,dx,kuangxiao,kx,xiaosi,xs,haha,hh,kuaile,kl,xiao,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,rollingonthefloorlaughing,rolling,floor,laughing,rollingfloor,floorlaughing,smileysemotion,facesmiling	哈哈哈|哈哈哈哈|大笑|狂笑|笑死|哈哈|快乐|笑|表情|笑脸|情感|微笑|开心
😂	face with tears of joy	Smileys & Emotion	face-smiling	0.6	kuxiao,kx,haojiujie,hjj,xiaoku,xk,jiujie,jj,daxiao,dx,kuaile,kl,kaixin,xiyue,xy,yanlei,yl,ku,nanguo,ng,cha,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,facewithtearsofjoy,face,tears,joy,facetears,tearsjoy,smileysemotion,facesmiling	哭笑|好纠结|笑哭|纠结|大笑|快乐|开心|喜悦|眼泪|哭|难过|茶|表情|笑脸|情感|微笑
🙂	slightly smiling face	Smileys & Emotion	face-smiling	1.0	xiawuhao,xwh,zhongwuhao,zwh,nihao,nh,hao,weixiao,wx,zaoshanghao,zsh,kaixin,kx,kuaile,kl,gaoxing,gx,biaoqing,bq,xiaolian,xl,qinggan,qg,slightlysmilingface,slightly,smiling,face,slightlysmiling,smilingface,smileysemotion,facesmiling	下午好|中午好|你好|好|微笑|早上好|开心|快乐|高兴|表情|笑脸|情感
🙃	upside-down face	Smileys & Emotion	face-smiling	1.0	shangxiadiandao,sxdd,hehe,hh,hunluan,hl,diandao,dd,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,kx,kuaile,kl,upsidedownface,upside,down,face,upsidedown,downface,smileysemotion,facesmiling	上下颠倒|呵呵|混乱|颠倒|表情|笑脸|情感|微笑|开心|快乐
🫠	melting face	Smileys & Emotion	face-smiling	14.0	taire,tr,haore,hr,yanre,yr,ronghua,rh,re,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,kx,kuaile,kl,meltingface,melting,face,smileysemotion,facesmiling	太热|好热|炎热|熔化|热|融化|表情|笑脸|情感|微笑|开心|快乐
😉	winking face	Smileys & Emotion	face-smiling	0.6	keyi,ky,haoba,hb,haode,hd,jiling,jl,xinga,xa,zhayan,zy,diaopi,dp,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,kx,kuaile,kl,winkingface,winking,face,smileysemotion,facesmiling	可以|好吧|好的|机灵|行啊|眨眼|调皮|表情|笑脸|情感|微笑|开心|快乐
😊	smiling face with smiling eyes	Smileys & Emotion	face-smiling	0.6	haomeng,hm,xiaolian,xl,lianhong,lh,meng,maimeng,mm,gaoxing,gx,kaixin,kx,kuaile,kl,weixiao,wx,biaoqing,bq,qinggan,qg,smilingfacewithsmilingeyes,smiling,face,eyes,smilingface,facesmiling,smilingeyes,smileysemotion	好萌|笑脸|脸红|萌|卖萌|高兴|开心|快乐|微笑|表情|情感
😇	smiling face with halo	Smileys & Emotion	face-smiling	1.0	tiancai,tc,zhihui,zh,congming,cm,xingmu,xm,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,smilingfacewithhalo,smiling,face,halo,smilingface,facehalo,smileysemotion,facesmiling	天才|智慧|聪明|醒目|开心|高兴|快乐|微笑|表情|笑脸|情感
🥰	smiling face with hearts	Smileys & Emotion	face-affection	11.0	keai,ka,xihuan,xh,ai,aini,an,maimeng,mm,aixin,ax,xingfu,xf,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,smilingfacewithhearts,smiling,face,hearts,smilingface,facehearts,smileysemotion,faceaffection	可爱|喜欢|爱|爱你|卖萌|爱心|幸福|开心|高兴|快乐|微笑|表情|笑脸|情感
😍	smiling face with heart-eyes	Smileys & Emotion	face-affection	0.6	xihuan,xh,xihuanni,xhn,haochi,hc,xiangchi,xc,piaoliang,pl,meiwei,mw,meinv,mn,jingxia,jx,ai,aixin,ax,huachi,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,smilingfacewithhearteyes,smiling,face,heart,eyes,smilingface,faceheart,hearteyes,smileysemotion,faceaffection	喜欢|喜欢你|好吃|想吃|漂亮|美味|美女|靓瞎|爱|爱心|花痴|开心|高兴|快乐|微笑|表情|笑脸|情感
🤩	star-struck	Smileys & Emotion	face-affection	5.0	chuse,cs,lihai,lh,lezai,lz,lenv,ln,haojin,hj,haole,hl,haobang,hb,xingxingyan,xxy,bang,bangdai,bd,jingxi,jx,jingyan,jy,xingxing,xx,shoucang,sc,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,starstruck,star,struck,smileysemotion,faceaffection	出色|厉害|叻仔|叻女|好劲|好叻|好棒|星星眼|棒|棒呆|惊喜|惊艳|星星|收藏|表情|笑脸|情感|喜欢|爱|爱心
😘	face blowing a kiss	Smileys & Emotion	face-affection	0.6	wen,wenni,wn,jiewen,jw,qin,qinqin,qq,feiwen,fw,qinwen,qw,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,faceblowingakiss,face,blowing,kiss,faceblowing,blowingkiss,smileysemotion,faceaffection	吻|吻你|接吻|亲|亲亲|飞吻|亲吻|表情|笑脸|情感|喜欢|爱|爱心
😗	kissing face	Smileys & Emotion	face-affection	1.0	duzui,dz,juezui,jz,qin,qinwen,qw,qinqin,qq,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,kissingface,kissing,face,smileysemotion,faceaffection	嘟嘴|噘嘴|撅嘴|亲|亲吻|亲亲|表情|笑脸|情感|喜欢|爱|爱心
☺️	smiling face	Smileys & Emotion	face-affection	0.6	xiangshou,xs,hanxu,hx,xihuan,xh,haixiu,shuang,lianhong,lh,shufu,sf,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,ai,aixin,ax,smilingface,smiling,face,smileysemotion,faceaffection	享受|含蓄|喜欢|害羞|爽|脸红|舒服|开心|高兴|快乐|微笑|表情|笑脸|情感|爱|爱心
😚	kissing face with closed eyes	Smileys & Emotion	face-affection	0.6	haixiu,hx,xiu,xiuse,xs,xiuxiu,xx,qinai,qa,qinqin,qq,qin,qinwen,qw,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,kissingfacewithclosedeyes,kissing,face,closed,eyes,kissingface,faceclosed,closedeyes,smileysemotion,faceaffection	害羞|羞|羞涩|羞羞|亲爱|亲亲|亲|亲吻|表情|笑脸|情感|喜欢|爱|爱心
😙	kissing face with smiling eyes	Smileys & Emotion	face-affection	1.0	wenni,wn,qinyige,qyg,qinzui,qz,qin,qinwen,qw,duzui,dz,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,qinqin,qq,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,kissingfacewithsmilingeyes,kissing,face,smiling,eyes,kissingface,facesmiling,smilingeyes,smileysemotion,faceaffection	吻你|亲一个|亲嘴|亲|亲吻|嘟嘴|开心|高兴|快乐|微笑|亲亲|表情|笑脸|情感|喜欢|爱|爱心
🥲	smiling face with tear	Smileys & Emotion	face-affection	13.0	hehe,hh,jianqiang,jq,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,yanlei,yl,ku,nanguo,ng,cha,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,smilingfacewithtear,smiling,face,tear,smilingface,facetear,smileysemotion,faceaffection	呵呵|坚强|开心|高兴|快乐|微笑|眼泪|哭|难过|茶|表情|笑脸|情感|喜欢|爱|爱心
😋	face savoring food	Smileys & Emotion	face-tongue	0.6	chiba,cb,haowei,hw,haochi,hc,meiwei,mw,kaifan,kf,ele,el,chan,chi,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,diaopi,dp,facesavoringfood,face,savoring,food,facesavoring,savoringfood,smileysemotion,facetongue	吃吧|好味|好吃|美味|开饭|饿了|馋|吃|表情|笑脸|情感|吐舌|调皮
😛	face with tongue	Smileys & Emotion	face-tongue	1.0	yibianqu,ybq,bukeneng,bkn,tushe,ts,tushetou,tst,pi,gun,gunduzi,gdz,diaopi,dp,biaoqing,bq,xiaolian,xl,qinggan,qg,facewithtongue,face,tongue,facetongue,smileysemotion	一边去|不可能|吐舌|吐舌头|屁|滚|滚犊子|调皮|表情|笑脸|情感
😜	winking face with tongue	Smileys & Emotion	face-tongue	0.6	zuonong,zn,wanxiao,wx,douniwan,dnw,kaiwanxiao,kwx,wanpi,wp,piannide,pnd,tushe,ts,diaopi,dp,zhayan,zy,biaoqing,bq,xiaolian,xl,qinggan,qg,winkingfacewithtongue,winking,face,tongue,winkingface,facetongue,smileysemotion	作弄|玩笑|逗你玩|开玩笑|顽皮|骗你的|吐舌|调皮|眨眼|表情|笑脸|情感
🤪	zany face	Smileys & Emotion	face-tongue	5.0	qie,che,waizui,wz,diaopi,dp,guilian,gl,fengkuang,fk,gaoguai,gg,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,zanyface,zany,face,smileysemotion,facetongue	切|呃|𪠳|歪嘴|调皮|鬼脸|疯狂|搞怪|表情|笑脸|情感|吐舌
😝	squinting face with tongue	Smileys & Emotion	face-tongue	0.6	buhaowan,bhw,bugan,bg,buhui,bh,buhuila,bhl,buxing,bx,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,diaopi,dp,squintingfacewithtongue,squinting,face,tongue,squintingface,facetongue,smileysemotion	不好玩|不干|不会|不会啦|不行|表情|笑脸|情感|吐舌|调皮
🤑	money-mouth face	Smileys & Emotion	face-tongue	1.0	shili,sl,xiangqiankan,xqk,weilishitu,wlst,geiqian,gq,caimi,cm,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,diaopi,dp,moneymouthface,money,mouth,face,moneymouth,mouthface,smileysemotion,facetongue	势利|向钱看|唯利是图|给钱|财迷|表情|笑脸|情感|吐舌|调皮
🤗	smiling face with open hands	Smileys & Emotion	face-hand	1.0	buku,bk,buyaopa,byp,anwei,aw,baoyibao,byb,baobao,bb,yongbao,yb,meishide,msd,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,ss,smilingfacewithopenhands,smiling,face,open,hands,smilingface,faceopen,openhands,smileysemotion,facehand	不哭|不要怕|安慰|抱一抱|抱抱|拥抱|没事的|开心|高兴|快乐|微笑|表情|笑脸|情感|捂脸|手势
🤭	face with hand over mouth	Smileys & Emotion	face-hand	5.0	touxiao,tx,haha,hh,xixi,xx,heihei,haoxiao,hx,wuzui,wz,buhaoyisi,bhys,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,ss,facewithhandovermouth,face,hand,over,mouth,facehand,handover,overmouth,smileysemotion	偷笑|哈哈|嘻嘻|嘿嘿|好笑|捂嘴|不好意思|表情|笑脸|情感|捂脸|手势
🫢	face with open eyes and hand over mouth	Smileys & Emotion	face-hand	14.0	bunengshuo,bns,bushuo,bs,bushuole,bsl,bieshuo,bieshuole,bieshuohua,bsh,shousheng,ss,bikou,bk,bizui,bz,jingya,jy,wuzui,wz,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,facewithopeneyesandhandovermouth,face,open,eyes,hand,over,mouth,faceopen,openeyes,eyeshand,handover,overmouth,smileysemotion,facehand	不能说|不说|不说了|别说|别说了|别说话|收声|闭口|闭嘴|惊讶|捂嘴|表情|笑脸|情感|捂脸|手势
🫣	face with peeking eye	Smileys & Emotion	face-hand	14.0	toukan,tk,toumiao,tm,toukui,kui,haixiu,hx,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,ss,facewithpeekingeye,face,peeking,eye,facepeeking,peekingeye,smileysemotion,facehand	偷看|偷瞄|偷窥|窥|害羞|表情|笑脸|情感|捂脸|手势
🤫	shushing face	Smileys & Emotion	face-hand	5.0	biechusheng,bcs,xu,anjing,aj,xiaosheng,xs,qiaoqiaodi,qqd,qingdian,qd,baomi,bm,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,ss,shushingface,shushing,face,smileysemotion,facehand	别出声|嘘|安静|小声|悄悄地|轻点|保密|表情|笑脸|情感|捂脸|手势
🤔	thinking face	Smileys & Emotion	face-hand	1.0	haoqi,hq,haofuza,hfz,zenmekeneng,zmkn,sikao,sk,xiangbutong,xbt,weihe,wh,weisha,ws,weishenme,wsm,fuza,fz,nanxiang,nx,nanti,nt,xiang,kaolv,kl,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,ss,thinkingface,thinking,face,smileysemotion,facehand	好奇|好复杂|怎么可能|思考|想不通|为何|为啥|为甚么|复杂|难想|难题|想|考虑|表情|笑脸|情感|捂脸|手势
🫡	saluting face	Smileys & Emotion	face-hand	14.0	jingli,jl,zhijing,zj,biaoqing,bq,xiaolian,xl,qinggan,qg,wulian,wl,shoushi,ss,salutingface,saluting,face,smileysemotion,facehand	敬礼|致敬|表情|笑脸|情感|捂脸|手势
🤐	zipper-mouth face	Smileys & Emotion	face-neutral-skeptical	1.0	bushuo,bs,bujiang,bj,bieshuole,bsl,fengkou,fk,menzhe,mz,bizui,bz,baomi,bm,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,zippermouthface,zipper,mouth,face,zippermouth,mouthface,smileysemotion,faceneutralskeptical	不说|不讲|别说了|封口|闷着|闭嘴|保密|表情|笑脸|情感|无语|怀疑|冷漠
🤨	face with raised eyebrow	Smileys & Emotion	face-neutral-skeptical	5.0	buduiba,bdb,bushiba,bsb,yi,yiwen,yw,ei,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,facewithraisedeyebrow,face,raised,eyebrow,faceraised,raisedeyebrow,smileysemotion,faceneutralskeptical	不对吧|不是吧|咦|啊|嗯|疑问|诶|表情|笑脸|情感|无语|怀疑|冷漠
😐	neutral face	Smileys & Emotion	face-neutral-skeptical	0.7	wugu,wg,zhidaole,zdl,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,neutralface,neutral,face,smileysemotion,faceneutralskeptical	噢|无辜|知道了|表情|笑脸|情感|无语|怀疑|冷漠
😑	expressionless face	Smileys & Emotion	face-neutral-skeptical	1.0	xiuxi,xx,biefanwo,bfw,bieliwo,blw,xiaoqi,xq,leile,ll,bimuyangshen,bmys,yangshen,ys,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,expressionlessface,expressionless,face,smileysemotion,faceneutralskeptical	休息|别烦我|别理我|小憩|累了|闭目养神|养神|表情|笑脸|情感|无语|怀疑|冷漠
😶	face without mouth	Smileys & Emotion	face-neutral-skeptical	1.0	lengmo,lm,moran,mr,douxing,dx,suibian,sb,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,facewithoutmouth,face,without,mouth,facewithout,withoutmouth,smileysemotion,faceneutralskeptical	冷漠|喔|嗯|漠然|都行|随便|表情|笑脸|情感|无语|怀疑
🫥	dotted line face	Smileys & Emotion	face-neutral-skeptical	14.0	xuhua,xh,yinshen,ys,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,dottedlineface,dotted,line,face,dottedline,lineface,smileysemotion,faceneutralskeptical	虚化|隐身|表情|笑脸|情感|无语|怀疑|冷漠
😶‍🌫️	face in clouds	Smileys & Emotion	face-neutral-skeptical	13.1	shenmi,sm,yinmi,ym,yinshen,ys,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,faceinclouds,face,clouds,faceclouds,smileysemotion,faceneutralskeptical	神秘|隐秘|隐身|表情|笑脸|情感|无语|怀疑|冷漠
😏	smirking face	Smileys & Emotion	face-neutral-skeptical	0.6	bugaosuni,bgsn,guxia,gx,niyeshi,nys,nicai,nc,touxiao,tx,lengxiao,lx,heihei,hh,xiaoyang,xy,jiunayang,jny,deyi,dy,zenmeyang,zmy,xieyan,huaji,hj,guiji,gj,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,smirkingface,smirking,face,smileysemotion,faceneutralskeptical	不告诉你|估吓|你也是|你猜|偷笑|冷笑|嘿嘿|小样|就那样|得意|怎么样|斜眼|滑稽|诡计|表情|笑脸|情感|无语|怀疑|冷漠
😒	unamused face	Smileys & Emotion	face-neutral-skeptical	0.6	xinniyougui,xnyg,youzhi,yz,caiguai,cg,lanwanyi,lwy,lanwanyier,lwye,powanyi,pwy,powanyier,pwye,bishi,bs,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,unamusedface,unamused,face,smileysemotion,faceneutralskeptical	信你有鬼|幼稚|才怪|烂玩意|烂玩意儿|破玩意|破玩意儿|鄙视|表情|笑脸|情感|无语|怀疑|冷漠
🙄	face with rolling eyes	Smileys & Emotion	face-neutral-skeptical	1.0	heng,feihua,fh,caiguai,cg,dangran,dr,baimu,bm,baiyan,by,shengshengba,ssb,guihua,gh,guihualianpian,ghlp,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,facewithrollingeyes,face,rolling,eyes,facerolling,rollingeyes,smileysemotion,faceneutralskeptical	哼|废话|才怪|当然|白目|白眼|省省吧|鬼话|鬼话连篇|表情|笑脸|情感|无语|怀疑|冷漠
😬	grimacing face	Smileys & Emotion	face-neutral-skeptical	1.0	guai,xiaoyige,xyg,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,grimacingface,grimacing,face,smileysemotion,faceneutralskeptical	乖|笑一个|表情|笑脸|情感|无语|怀疑|冷漠
😮‍💨	face exhaling	Smileys & Emotion	face-neutral-skeptical	13.1	kexi,kx,ai,tanxi,tx,tanqi,tq,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,faceexhaling,face,exhaling,smileysemotion,faceneutralskeptical	可惜|哎|唉|叹惜|叹气|表情|笑脸|情感|无语|怀疑|冷漠
🤥	lying face	Smileys & Emotion	face-neutral-skeptical	3.0	luanxi,lx,luanjiang,lj,chehuang,ch,huche,hc,hushuo,hs,shuohuang,sh,jiangdahua,jdh,pianren,pr,pianzi,pz,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,lyingface,lying,face,smileysemotion,faceneutralskeptical	乱噏|乱讲|扯谎|胡扯|胡说|说谎|讲大话|骗人|骗子|表情|笑脸|情感|无语|怀疑|冷漠
🫨	shaking face	Smileys & Emotion	face-neutral-skeptical	15.0	bu,buhao,bh,buxing,bx,yaogun,yg,yaotou,yt,mohu,mh,mihu,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,shakingface,shaking,face,smileysemotion,faceneutralskeptical	不|不好|不行|摇滚|摇头|模糊|迷糊|表情|笑脸|情感|无语|怀疑|冷漠
🙂‍↔️	head shaking horizontally	Smileys & Emotion	face-neutral-skeptical	15.1	bu,budui,bd,buxing,bx,yaotou,yt,meixi,mx,meimen,mm,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,headshakinghorizontally,head,shaking,horizontally,headshaking,shakinghorizontally,smileysemotion,faceneutralskeptical	不|不对|不行|摇头|没戏|没门|表情|笑脸|情感|无语|怀疑|冷漠
🙂‍↕️	head shaking vertically	Smileys & Emotion	face-neutral-skeptical	15.1	keyi,ky,tongyi,ty,hao,haode,hd,de,xing,diantou,dt,biaoqing,bq,xiaolian,xl,qinggan,qg,wuyu,wy,huaiyi,hy,lengmo,lm,headshakingvertically,head,shaking,vertically,headshaking,shakingvertically,smileysemotion,faceneutralskeptical	可以|同意|好|好的|得|行|点头|表情|笑脸|情感|无语|怀疑|冷漠
😌	relieved face	Smileys & Emotion	face-sleepy	0.6	jiunayang,jny,meixingqu,mxq,wusuowei,wsw,biaoqing,bq,xiaolian,xl,qinggan,qg,kun,shuijue,sj,lei,relievedface,relieved,face,smileysemotion,facesleepy	就那样|没兴趣|无所谓|表情|笑脸|情感|困|睡觉|累
😔	pensive face	Smileys & Emotion	face-sleepy	0.6	shiwang,sw,wanle,wl,meixi,mx,nanguo,ng,biaoqing,bq,xiaolian,xl,qinggan,qg,kun,shuijue,sj,lei,pensiveface,pensive,face,smileysemotion,facesleepy	失望|完了|没戏|难过|表情|笑脸|情感|困|睡觉|累
😪	sleepy face	Smileys & Emotion	face-sleepy	0.6	yejiuzheyang,yjzy,ai,haoba,hb,suanle,sl,kun,lei,shuijue,sj,biaoqing,bq,xiaolian,xl,qinggan,qg,sleepyface,sleepy,face,smileysemotion,facesleepy	也就这样|唉|好吧|算了|困|累|睡觉|表情|笑脸|情感
🤤	drooling face	Smileys & Emotion	face-sleepy	3.0	liukoushui,lks,liuxian,lx,chan,biaoqing,bq,xiaolian,xl,qinggan,qg,kun,shuijue,sj,lei,droolingface,drooling,face,smileysemotion,facesleepy	流口水|流涎|馋|表情|笑脸|情感|困|睡觉|累
😴	sleeping face	Smileys & Emotion	face-sleepy	1.0	buhaowan,bhw,haowuliao,hwl,wanan,wa,meiyisi,mys,wuliao,wl,kun,kunle,kl,kunjue,kj,shuile,sl,shuiba,sb,shuijue,sj,biaoqing,bq,xiaolian,xl,qinggan,qg,lei,sleepingface,sleeping,face,smileysemotion,facesleepy	不好玩|好无聊|晚安|没意思|无聊|困|困了|困觉|睡了|睡吧|睡觉|表情|笑脸|情感|累
🫩	face with bags under eyes	Smileys & Emotion	face-sleepy	16.0	shimian,sm,dakeshui,dks,aoye,ay,yandai,yd,kun,kunle,kl,shuibuzhu,sbz,keshui,ks,tongxiao,tx,biaoqing,bq,xiaolian,xl,qinggan,qg,shuijue,sj,lei,facewithbagsundereyes,face,bags,under,eyes,facebags,bagsunder,undereyes,smileysemotion,facesleepy	失眠|打瞌睡|熬夜|眼袋|困|困了|睡不著|瞌睡|通宵|表情|笑脸|情感|睡觉|累
😷	face with medical mask	Smileys & Emotion	face-unwell	0.6	kouzhao,kz,daikouzhao,dkz,wuran,wr,kongqiwuran,kqwr,fangyi,fy,wumai,wm,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,shengbing,sb,facewithmedicalmask,face,medical,mask,facemedical,medicalmask,smileysemotion,faceunwell	口罩|戴口罩|污染|空气污染|防疫|雾霾|表情|笑脸|情感|不舒服|生病
🤒	face with thermometer	Smileys & Emotion	face-unwell	1.0	dao,youbing,yb,shengbing,sb,bingle,bl,fashao,fs,gaoshao,gs,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,facewiththermometer,face,thermometer,facethermometer,smileysemotion,faceunwell	倒|有病|生病|病了|发烧|高烧|表情|笑脸|情感|不舒服
🤕	face with head-bandage	Smileys & Emotion	face-unwell	1.0	shang,shangle,sl,shoushang,ss,shoushangle,ssl,nanshou,ns,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,shengbing,sb,facewithheadbandage,face,head,bandage,facehead,headbandage,smileysemotion,faceunwell	伤|伤了|受伤|受伤了|难受|表情|笑脸|情感|不舒服|生病
🤢	nauseated face	Smileys & Emotion	face-unwell	3.0	exin,ex,youdu,yd,hetu,ht,nanchi,nc,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,shengbing,sb,nauseatedface,nauseated,face,smileysemotion,faceunwell	恶心|有毒|核突|难吃|表情|笑脸|情感|不舒服|生病
🤮	face vomiting	Smileys & Emotion	face-unwell	5.0	tu,exin,ex,xiangtu,xt,hetu,ht,caonai,cn,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,shengbing,sb,facevomiting,face,vomiting,smileysemotion,faceunwell	吐|恶心|想吐|核突|槽耐|表情|笑脸|情感|不舒服|生病
🤧	sneezing face	Smileys & Emotion	face-unwell	3.0	ati,at,penti,pt,ganmao,gm,dapenti,dpt,liubiti,lbt,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,shengbing,sb,sneezingface,sneezing,face,smileysemotion,faceunwell	啊嚏|喷嚏|感冒|打喷嚏|流鼻涕|表情|笑脸|情感|不舒服|生病
🥵	hot face	Smileys & Emotion	face-unwell	11.0	chuhan,ch,yanre,yr,re,tang,tangkou,tk,gaowen,gw,biaoqing,bq,xiaolian,xl,qinggan,qg,bushufu,bsf,shengbing,sb,hotface,hot,face,smileysemotion,faceunwell	出汗|炎热|热|烫|烫口|高温|表情|笑脸|情感|不舒服|生病
