# emoji	name	group	subgroup	version	codes	terms
👩🏼‍❤️‍👨🏿	couple with heart: woman, man, medium-light skin tone, dark skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumlightskintonedarkskintone,couple,heart,woman,man,medium,light,skin,tone,dark,coupleheart,heartwoman,womanman,manmedium,mediumlight,lightskin,skintone,tonedark,darkskin,peoplebody,family	女|女性|浅肤色|中浅肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏽‍❤️‍👨🏻	couple with heart: woman, man, medium skin tone, light skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,zhongdengfuse,zdfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumskintonelightskintone,couple,heart,woman,man,medium,skin,tone,light,coupleheart,heartwoman,womanman,manmedium,mediumskin,skintone,tonelight,lightskin,peoplebody,family	女|女性|浅肤色|中等肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏽‍❤️‍👨🏼	couple with heart: woman, man, medium skin tone, medium-light skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,zhongdengfuse,zdfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumskintonemediumlightskintone,couple,heart,woman,man,medium,skin,tone,light,coupleheart,heartwoman,womanman,manmedium,mediumskin,skintone,tonemedium,mediumlight,lightskin,peoplebody,family	女|女性|浅肤色|中浅肤色|中等肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏽‍❤️‍👨🏽	couple with heart: woman, man, medium skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongdengfuse,zdfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumskintone,couple,heart,woman,man,medium,skin,tone,coupleheart,heartwoman,womanman,manmedium,mediumskin,skintone,peoplebody,family	女|女性|中等肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏽‍❤️‍👨🏾	couple with heart: woman, man, medium skin tone, medium-dark skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongdengfuse,zdfs,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumskintonemediumdarkskintone,couple,heart,woman,man,medium,skin,tone,dark,coupleheart,heartwoman,womanman,manmedium,mediumskin,skintone,tonemedium,mediumdark,darkskin,peoplebody,family	女|女性|中等肤色|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏽‍❤️‍👨🏿	couple with heart: woman, man, medium skin tone, dark skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongdengfuse,zdfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumskintonedarkskintone,couple,heart,woman,man,medium,skin,tone,dark,coupleheart,heartwoman,womanman,manmedium,mediumskin,skintone,tonedark,darkskin,peoplebody,family	女|女性|中等肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏾‍❤️‍👨🏻	couple with heart: woman, man, medium-dark skin tone, light skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumdarkskintonelightskintone,couple,heart,woman,man,medium,dark,skin,tone,light,coupleheart,heartwoman,womanman,manmedium,mediumdark,darkskin,skintone,tonelight,lightskin,peoplebody,family	女|女性|浅肤色|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏾‍❤️‍👨🏼	couple with heart: woman, man, medium-dark skin tone, medium-light skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumdarkskintonemediumlightskintone,couple,heart,woman,man,medium,dark,skin,tone,light,coupleheart,heartwoman,womanman,manmedium,mediumdark,darkskin,skintone,tonemedium,mediumlight,lightskin,peoplebody,family	女|女性|浅肤色|中浅肤色|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏾‍❤️‍👨🏽	couple with heart: woman, man, medium-dark skin tone, medium skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongdengfuse,zdfs,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumdarkskintonemediumskintone,couple,heart,woman,man,medium,dark,skin,tone,coupleheart,heartwoman,womanman,manmedium,mediumdark,darkskin,skintone,tonemedium,mediumskin,peoplebody,family	女|女性|中等肤色|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏾‍❤️‍👨🏾	couple with heart: woman, man, medium-dark skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumdarkskintone,couple,heart,woman,man,medium,dark,skin,tone,coupleheart,heartwoman,womanman,manmedium,mediumdark,darkskin,skintone,peoplebody,family	女|女性|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏾‍❤️‍👨🏿	couple with heart: woman, man, medium-dark skin tone, dark skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmanmediumdarkskintonedarkskintone,couple,heart,woman,man,medium,dark,skin,tone,coupleheart,heartwoman,womanman,manmedium,mediumdark,darkskin,skintone,tonedark,peoplebody,family	女|女性|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏿‍❤️‍👨🏻	couple with heart: woman, man, dark skin tone, light skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmandarkskintonelightskintone,couple,heart,woman,man,dark,skin,tone,light,coupleheart,heartwoman,womanman,mandark,darkskin,skintone,tonelight,lightskin,peoplebody,family	女|女性|浅肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏿‍❤️‍👨🏼	couple with heart: woman, man, dark skin tone, medium-light skin tone	People & Body	family	13.1	nv,nvxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmandarkskintonemediumlightskintone,couple,heart,woman,man,dark,skin,tone,medium,light,coupleheart,heartwoman,womanman,mandark,darkskin,skintone,tonemedium,mediumlight,lightskin,peoplebody,family	女|女性|浅肤色|中浅肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏿‍❤️‍👨🏽	couple with heart: woman, man, dark skin tone, medium skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongdengfuse,zdfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmandarkskintonemediumskintone,couple,heart,woman,man,dark,skin,tone,medium,coupleheart,heartwoman,womanman,mandark,darkskin,skintone,tonemedium,mediumskin,peoplebody,family	女|女性|中等肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏿‍❤️‍👨🏾	couple with heart: woman, man, dark skin tone, medium-dark skin tone	People & Body	family	13.1	nv,nvxing,nx,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmandarkskintonemediumdarkskintone,couple,heart,woman,man,dark,skin,tone,medium,coupleheart,heartwoman,womanman,mandark,darkskin,skintone,tonemedium,mediumdark,peoplebody,family	女|女性|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👩🏿‍❤️‍👨🏿	couple with heart: woman, man, dark skin tone	People & Body	family	13.1	nv,nvxing,nx,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartwomanmandarkskintone,couple,heart,woman,man,dark,skin,tone,coupleheart,heartwoman,womanman,mandark,darkskin,skintone,peoplebody,family	女|女性|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨‍❤️‍👨	couple with heart: man, man	People & Body	family	2.0	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanman,couple,heart,man,coupleheart,heartman,manman,peoplebody,family	男同|男同性恋|男|男性|爱|爱心|喜欢|人物|人|身体|家庭|家人
